/home/quantumiracle/research/ensemble-dqn/dqn.py:135: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Collecting experience...
Ep:  0 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  1 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  40.0 | Steps:  39 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  38.0 | Steps:  37 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  66.0 | Steps:  65 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  28.0 | Steps:  27 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  63.0 | Steps:  62 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  37.0 | Steps:  36 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  45.0 | Steps:  44 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  19.0 | Steps:  18 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  22 | Ep_r:  38.0 | Steps:  37 | Ep_Loss: 0.0000
Ep:  23 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  50.0 | Steps:  49 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  46.0 | Steps:  45 | Ep_Loss: 0.0000
Ep:  26 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  34.0 | Steps:  33 | Ep_Loss: 0.0000
Ep:  28 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  29 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  31 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.0000
Ep:  32 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  33 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
