Collecting experience...
Ep:  0 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  33.0 | Steps:  32 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  56.0 | Steps:  55 | Ep_Loss: 0.0000
Ep:  35 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  40 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  50 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  55 | Ep_r:  33.0 | Steps:  32 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  29.0 | Steps:  28 | Ep_Loss: 0.0000
Ep:  65 | Ep_r:  32.0 | Steps:  31 | Ep_Loss: 0.0000
Ep:  70 | Ep_r:  44.0 | Steps:  43 | Ep_Loss: 0.0000
Ep:  75 | Ep_r:  54.0 | Steps:  53 | Ep_Loss: 0.0000
Ep:  80 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  85 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  90 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  95 | Ep_r:  35.0 | Steps:  34 | Ep_Loss: 26.2543
Ep:  100 | Ep_r:  32.0 | Steps:  31 | Ep_Loss: 16.8828
Ep:  105 | Ep_r:  19.0 | Steps:  18 | Ep_Loss: 3.8978
Ep:  110 | Ep_r:  32.0 | Steps:  31 | Ep_Loss: 3.9757
Ep:  115 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 1.3050
Ep:  120 | Ep_r:  27.0 | Steps:  26 | Ep_Loss: 2.1859
Ep:  125 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.7652
/home/quantumiracle/research/ensemble-dqn/dqn.py:135: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  130 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 1.5755
Ep:  135 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 1.5221
Ep:  140 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 1.5247
Ep:  145 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 1.4769
Ep:  150 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 1.2126
Ep:  155 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.7992
Ep:  160 | Ep_r:  66.0 | Steps:  65 | Ep_Loss: 2.8462
Ep:  165 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.4278
Ep:  170 | Ep_r:  28.0 | Steps:  27 | Ep_Loss: 1.1045
Ep:  175 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.4026
Ep:  180 | Ep_r:  27.0 | Steps:  26 | Ep_Loss: 1.0013
Ep:  185 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.5165
Ep:  190 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.7416
Ep:  195 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.4843
Ep:  200 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.6531
