Collecting experience...
Ep:  0 | Ep_r:  74.0 | Steps:  73 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  25.0 | Steps:  24 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  41.0 | Steps:  40 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  34.0 | Steps:  33 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  37.0 | Steps:  36 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  35 | Ep_r:  26.0 | Steps:  25 | Ep_Loss: 0.0000
Ep:  40 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  50 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.0000
Ep:  55 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  65 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  70 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  75 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  80 | Ep_r:  8.0 | Steps:  7 | Ep_Loss: 0.0000
Ep:  85 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  90 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  95 | Ep_r:  48.0 | Steps:  47 | Ep_Loss: 35.1961
Ep:  100 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 8.8710
Ep:  105 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 2.9782
Ep:  110 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 1.1605
Ep:  115 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 1.9837
ensemble_dqn.py:136: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  120 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 3.1495
