Collecting experience...
Ep:  0 | Ep_r:  29.0 | Steps:  28 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  69.0 | Steps:  68 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  29.0 | Steps:  28 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  38.0 | Steps:  37 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  33 | Ep_r:  30.0 | Steps:  29 | Ep_Loss: 0.0000
Ep:  36 | Ep_r:  27.0 | Steps:  26 | Ep_Loss: 0.0000
Ep:  39 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  42 | Ep_r:  53.0 | Steps:  52 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  26.0 | Steps:  25 | Ep_Loss: 0.0000
Ep:  48 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  51 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  54 | Ep_r:  41.0 | Steps:  40 | Ep_Loss: 0.0000
Ep:  57 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.0000
Ep:  63 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  66 | Ep_r:  9.0 | Steps:  8 | Ep_Loss: 0.0000
Ep:  69 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
