Collecting experience...
Ep:  0 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  27.0 | Steps:  26 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  36.0 | Steps:  35 | Ep_Loss: 0.0000
Ep:  35 | Ep_r:  46.0 | Steps:  45 | Ep_Loss: 0.0000
Ep:  40 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.0000
Ep:  50 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  55 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  65 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 0.0000
Ep:  70 | Ep_r:  19.0 | Steps:  18 | Ep_Loss: 0.0000
Ep:  75 | Ep_r:  12.0 | Steps:  11 | Ep_Loss: 0.0000
Ep:  80 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  85 | Ep_r:  53.0 | Steps:  52 | Ep_Loss: 0.0000
Ep:  90 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  95 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 10.2314
Ep:  100 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 14.8798
Ep:  105 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 12.1273
Ep:  110 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 2.6127
ensemble_dqn.py:136: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  115 | Ep_r:  48.0 | Steps:  47 | Ep_Loss: 5.7672
Ep:  120 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 1.6689
Ep:  125 | Ep_r:  71.0 | Steps:  70 | Ep_Loss: 5.2297
Ep:  130 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 1.0032
Ep:  135 | Ep_r:  27.0 | Steps:  26 | Ep_Loss: 1.4140
Ep:  140 | Ep_r:  72.0 | Steps:  71 | Ep_Loss: 2.9845
Ep:  145 | Ep_r:  39.0 | Steps:  38 | Ep_Loss: 1.6230
Ep:  150 | Ep_r:  113.0 | Steps:  112 | Ep_Loss: 4.5152
Ep:  155 | Ep_r:  52.0 | Steps:  51 | Ep_Loss: 2.2404
Ep:  160 | Ep_r:  81.0 | Steps:  80 | Ep_Loss: 3.2483
Ep:  165 | Ep_r:  31.0 | Steps:  30 | Ep_Loss: 1.1718
Ep:  170 | Ep_r:  129.0 | Steps:  128 | Ep_Loss: 4.7983
Ep:  175 | Ep_r:  52.0 | Steps:  51 | Ep_Loss: 2.0680
Ep:  180 | Ep_r:  267.0 | Steps:  266 | Ep_Loss: 12.1451
Ep:  185 | Ep_r:  145.0 | Steps:  144 | Ep_Loss: 7.4926
Ep:  190 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 1.0202
Ep:  195 | Ep_r:  177.0 | Steps:  176 | Ep_Loss: 7.0829
Ep:  200 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.7410
Ep:  205 | Ep_r:  92.0 | Steps:  91 | Ep_Loss: 4.1825
Ep:  210 | Ep_r:  375.0 | Steps:  374 | Ep_Loss: 17.8588
Ep:  215 | Ep_r:  128.0 | Steps:  127 | Ep_Loss: 6.7417
Ep:  220 | Ep_r:  308.0 | Steps:  307 | Ep_Loss: 13.9827
Ep:  225 | Ep_r:  435.0 | Steps:  434 | Ep_Loss: 16.9079
Ep:  230 | Ep_r:  441.0 | Steps:  440 | Ep_Loss: 15.5606
Ep:  235 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 17.0781
Ep:  240 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 15.8017
Ep:  245 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 17.3443
Ep:  250 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.0368
Ep:  255 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.2358
Ep:  260 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.4009
Ep:  265 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.7365
Ep:  270 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.8070
Ep:  275 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.3286
Ep:  280 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.0963
Ep:  285 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.7262
Ep:  290 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.0372
Ep:  295 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.8945

Ep:  300 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.9189
