ensemble_dqn.py:136: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Collecting experience...
Ep:  0 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  37.0 | Steps:  36 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  28.0 | Steps:  27 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  33 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  36 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  39 | Ep_r:  47.0 | Steps:  46 | Ep_Loss: 0.0000
Ep:  42 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 0.0000
Ep:  45 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.0000
Ep:  48 | Ep_r:  11.0 | Steps:  10 | Ep_Loss: 0.0000
Ep:  51 | Ep_r:  43.0 | Steps:  42 | Ep_Loss: 0.0000
Ep:  54 | Ep_r:  10.0 | Steps:  9 | Ep_Loss: 0.0000
Ep:  57 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 0.0000
Ep:  60 | Ep_r:  34.0 | Steps:  33 | Ep_Loss: 0.0000
Ep:  63 | Ep_r:  25.0 | Steps:  24 | Ep_Loss: 0.0000
Ep:  66 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.0000
Ep:  69 | Ep_r:  26.0 | Steps:  25 | Ep_Loss: 0.0000
Ep:  72 | Ep_r:  21.0 | Steps:  20 | Ep_Loss: 0.0000
Ep:  75 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.0000
Ep:  78 | Ep_r:  42.0 | Steps:  41 | Ep_Loss: 0.0000
Ep:  81 | Ep_r:  42.0 | Steps:  41 | Ep_Loss: 0.0000
Ep:  84 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 0.0000
Ep:  87 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 0.0000
Ep:  90 | Ep_r:  9.0 | Steps:  8 | Ep_Loss: 0.0000
Ep:  93 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.0000
Ep:  96 | Ep_r:  31.0 | Steps:  30 | Ep_Loss: 23.3322
Ep:  99 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 11.4929
Ep:  102 | Ep_r:  52.0 | Steps:  51 | Ep_Loss: 23.7570
Ep:  105 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 4.6964
Ep:  108 | Ep_r:  15.0 | Steps:  14 | Ep_Loss: 2.7794
Ep:  111 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 2.5598
Ep:  114 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 2.8395
Ep:  117 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 2.6138
Ep:  120 | Ep_r:  16.0 | Steps:  15 | Ep_Loss: 1.7496
Ep:  123 | Ep_r:  34.0 | Steps:  33 | Ep_Loss: 2.7734
Ep:  126 | Ep_r:  97.0 | Steps:  96 | Ep_Loss: 6.5853
Ep:  129 | Ep_r:  17.0 | Steps:  16 | Ep_Loss: 0.9239
Ep:  132 | Ep_r:  64.0 | Steps:  63 | Ep_Loss: 3.3324
Ep:  135 | Ep_r:  57.0 | Steps:  56 | Ep_Loss: 2.6939
Ep:  138 | Ep_r:  75.0 | Steps:  74 | Ep_Loss: 3.2862
Ep:  141 | Ep_r:  20.0 | Steps:  19 | Ep_Loss: 0.7481
Ep:  144 | Ep_r:  113.0 | Steps:  112 | Ep_Loss: 4.3230
Ep:  147 | Ep_r:  29.0 | Steps:  28 | Ep_Loss: 1.0979
Ep:  150 | Ep_r:  64.0 | Steps:  63 | Ep_Loss: 2.3546
Ep:  153 | Ep_r:  56.0 | Steps:  55 | Ep_Loss: 2.0485
Ep:  156 | Ep_r:  69.0 | Steps:  68 | Ep_Loss: 2.4813
Ep:  159 | Ep_r:  89.0 | Steps:  88 | Ep_Loss: 3.2493
Ep:  162 | Ep_r:  18.0 | Steps:  17 | Ep_Loss: 0.7769
Ep:  165 | Ep_r:  57.0 | Steps:  56 | Ep_Loss: 2.3599
Ep:  168 | Ep_r:  55.0 | Steps:  54 | Ep_Loss: 2.1073
Ep:  171 | Ep_r:  173.0 | Steps:  172 | Ep_Loss: 6.5389
Ep:  174 | Ep_r:  13.0 | Steps:  12 | Ep_Loss: 0.4887
Ep:  177 | Ep_r:  44.0 | Steps:  43 | Ep_Loss: 1.6591
Ep:  180 | Ep_r:  124.0 | Steps:  123 | Ep_Loss: 4.9075
Ep:  183 | Ep_r:  243.0 | Steps:  242 | Ep_Loss: 9.4995
Ep:  186 | Ep_r:  24.0 | Steps:  23 | Ep_Loss: 1.2053
Ep:  189 | Ep_r:  14.0 | Steps:  13 | Ep_Loss: 0.6308
Ep:  192 | Ep_r:  23.0 | Steps:  22 | Ep_Loss: 0.9949
Ep:  195 | Ep_r:  143.0 | Steps:  142 | Ep_Loss: 6.3784
Ep:  198 | Ep_r:  63.0 | Steps:  62 | Ep_Loss: 2.6395
Ep:  201 | Ep_r:  22.0 | Steps:  21 | Ep_Loss: 0.8923
Ep:  204 | Ep_r:  118.0 | Steps:  117 | Ep_Loss: 5.0214
Ep:  207 | Ep_r:  312.0 | Steps:  311 | Ep_Loss: 13.9587
Ep:  210 | Ep_r:  316.0 | Steps:  315 | Ep_Loss: 13.8265
Ep:  213 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.6181
Ep:  216 | Ep_r:  425.0 | Steps:  424 | Ep_Loss: 16.7754
Ep:  219 | Ep_r:  459.0 | Steps:  458 | Ep_Loss: 16.1316
Ep:  222 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 16.4811
Ep:  225 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.3316
Ep:  228 | Ep_r:  433.0 | Steps:  432 | Ep_Loss: 14.1273
Ep:  231 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 14.7422
Ep:  234 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 14.9869
Ep:  237 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 14.0647
Ep:  240 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 15.0072
Ep:  243 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 15.7572
Ep:  246 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 16.0693
Ep:  249 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 16.8100
Ep:  252 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 15.8071
Ep:  255 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 16.2356
Ep:  258 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 17.1008
Ep:  261 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 17.5757
Ep:  264 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 17.3628

Ep:  267 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.1735
Ep:  270 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.3982
Ep:  273 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.2750
Ep:  276 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.4999
Ep:  279 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.3045
Ep:  282 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.9474
Ep:  285 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.6916
Ep:  288 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.4891
Ep:  291 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.5775
Ep:  294 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.1067
Ep:  297 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.5093
Ep:  300 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.3032
Ep:  303 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.6440
Ep:  306 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.2351
Ep:  309 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.7166
Ep:  312 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.4414
Ep:  315 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.2378
Ep:  318 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.2434
Ep:  321 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 18.5304
Ep:  324 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.6915
Ep:  327 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.7662
Ep:  330 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.9764
Ep:  333 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.7029
Ep:  336 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.2448
Ep:  339 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.9588
Ep:  342 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 19.4074
Ep:  345 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.7983
Ep:  348 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.3253
Ep:  351 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.9826
Ep:  354 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.7455
Ep:  357 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.5386
Ep:  360 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 20.5203
Ep:  363 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.1008
Ep:  366 | Ep_r:  357.0 | Steps:  356 | Ep_Loss: 16.6687
Ep:  369 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.8044
Ep:  372 | Ep_r:  283.0 | Steps:  282 | Ep_Loss: 12.5045
Ep:  375 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.1070
Ep:  378 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.2869
Ep:  381 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.6907
Ep:  384 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 23.6191
Ep:  387 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.2919
Ep:  390 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 21.1188
Ep:  393 | Ep_r:  451.0 | Steps:  450 | Ep_Loss: 19.7275
Ep:  396 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 22.8282
Ep:  399 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 23.2989
Ep:  402 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 24.1028
Ep:  405 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 25.3822
Ep:  408 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 23.6951
Ep:  411 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 24.8147
Ep:  414 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 23.6068
Ep:  417 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 25.6064
Ep:  420 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 27.4634
Ep:  423 | Ep_r:  283.0 | Steps:  282 | Ep_Loss: 18.4844
Ep:  426 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 30.4752
Ep:  429 | Ep_r:  463.0 | Steps:  462 | Ep_Loss: 25.7703
Ep:  432 | Ep_r:  500.0 | Steps:  499 | Ep_Loss: 31.9376
Ep:  435 | Ep_r:  441.0 | Steps:  440 | Ep_Loss: 28.5786
